course_id,title,description,skills,difficulty,duration_hours,prerequisites,career_roles,resource_type,rating
C001,Python for Beginners,Complete beginner course covering Python syntax variables data types and control flow,Python,Beginner,20,None,"Data Scientist,AI Engineer,Backend Developer,Data Analyst",Course,4.8
C002,Intermediate Python Programming,Covers OOP file handling exceptions modules and packages in Python,Python,Intermediate,25,Python,"Data Scientist,AI Engineer,Backend Developer",Course,4.7
C003,Python Data Structures & Algorithms,Deep dive into lists dictionaries sets tuples and algorithmic thinking,Python,Intermediate,30,Python,"Data Scientist,Software Engineer,AI Engineer",Course,4.6
C004,Advanced Python: Decorators & Metaclasses,Advanced Python patterns for professional development,Python,Advanced,20,Intermediate Python,"Software Engineer,AI Engineer",Course,4.5
C005,SQL for Data Analysis,Comprehensive SQL from SELECT statements to window functions and CTEs,SQL,Beginner,18,None,"Data Scientist,Data Analyst,Backend Developer",Course,4.8
C006,Advanced SQL & Query Optimization,Query performance tuning indexing strategies and advanced SQL patterns,SQL,Advanced,22,SQL,"Data Engineer,Data Scientist,Backend Developer",Course,4.6
C007,Statistics for Data Science,Probability distributions hypothesis testing confidence intervals and statistical inference,Statistics,Beginner,25,None,"Data Scientist,Data Analyst,ML Engineer",Course,4.7
C008,Applied Statistics with Python,Apply statistical concepts using scipy and statsmodels in Python,Statistics,Intermediate,20,Statistics;Python,"Data Scientist,ML Engineer",Course,4.6
C009,Linear Algebra for Machine Learning,Vectors matrices eigenvalues and their applications in ML,Linear Algebra,Intermediate,22,None,"ML Engineer,Data Scientist,AI Engineer",Course,4.7
C010,Calculus for Machine Learning,Derivatives gradients and optimization basics for ML practitioners,Calculus,Beginner,18,None,"ML Engineer,Data Scientist,AI Engineer",Course,4.5
C011,NumPy Fundamentals,Arrays broadcasting linear algebra and scientific computing with NumPy,NumPy,Beginner,15,Python,"Data Scientist,ML Engineer,Data Engineer",Course,4.8
C012,Pandas for Data Analysis,DataFrames series indexing groupby merging and data cleaning,Pandas,Beginner,20,NumPy,"Data Scientist,Data Analyst,Data Engineer",Course,4.9
C013,Data Wrangling with Pandas,Advanced Pandas techniques for messy real-world datasets,Pandas,Intermediate,18,Pandas,"Data Scientist,Data Analyst",Course,4.6
C014,Data Visualization with Matplotlib & Seaborn,Create informative charts plots and dashboards for data analysis,Data Visualization,Beginner,15,Pandas,"Data Scientist,Data Analyst",Course,4.7
C015,Plotly & Dash for Interactive Dashboards,Build interactive web-based visualizations and dashboards with Plotly Dash,Data Visualization,Intermediate,20,Data Visualization,"Data Scientist,Data Analyst,Full Stack Developer",Course,4.8
C016,Machine Learning Fundamentals,Supervised unsupervised learning regression classification and model evaluation,Machine Learning,Beginner,35,Statistics;NumPy;Pandas,"Data Scientist,ML Engineer,AI Engineer",Course,4.9
C017,Scikit-learn for Practitioners,Practical ML with scikit-learn including pipelines cross-validation and tuning,Machine Learning,Intermediate,25,Machine Learning,"Data Scientist,ML Engineer",Course,4.8
C018,Machine Learning Model Deployment,Deploy ML models using Flask FastAPI and cloud platforms,Machine Learning,Intermediate,22,Machine Learning,"ML Engineer,Backend Developer,AI Engineer",Course,4.6
C019,Feature Engineering & Selection,Craft powerful features for ML models using domain knowledge and automation,Feature Engineering,Intermediate,20,Machine Learning,"Data Scientist,ML Engineer",Course,4.7
C020,Hyperparameter Tuning & AutoML,Optimize ML models with Grid Search Random Search Optuna and AutoML tools,Hyperparameter Tuning,Advanced,18,Machine Learning,"Data Scientist,ML Engineer",Course,4.5
C021,Deep Learning with PyTorch,Neural network fundamentals CNNs RNNs and training with PyTorch,Deep Learning,Intermediate,40,Machine Learning;Linear Algebra;Calculus,"AI Engineer,ML Engineer,Research Scientist",Course,4.9
C022,Deep Learning with TensorFlow & Keras,Build and train deep neural networks using TensorFlow 2 and Keras API,Deep Learning,Intermediate,38,Machine Learning;Linear Algebra,"AI Engineer,ML Engineer",Course,4.8
C023,Convolutional Neural Networks,CNN architectures for image classification detection and segmentation,Deep Learning,Advanced,30,Deep Learning,"AI Engineer,Computer Vision Engineer",Course,4.8
C024,Recurrent Neural Networks & LSTMs,Sequence models for time-series text and speech with RNNs LSTMs and GRUs,Deep Learning,Advanced,28,Deep Learning,"AI Engineer,NLP Engineer",Course,4.7
C025,Natural Language Processing Fundamentals,Text preprocessing feature extraction sentiment analysis and NLP pipelines,NLP,Beginner,25,Python;Machine Learning,"NLP Engineer,AI Engineer,Data Scientist",Course,4.7
C026,Advanced NLP with spaCy & NLTK,Named entity recognition POS tagging dependency parsing and advanced NLP,NLP,Intermediate,22,NLP,"NLP Engineer,AI Engineer",Course,4.6
