project_id,title,description,skills,difficulty,duration_hours,career_roles
P001,Personal Finance Tracker,Build a data pipeline and dashboard to analyze personal spending patterns with Pandas and Plotly,Python;Pandas;Data Visualization,Beginner,15,"Data Analyst,Data Scientist"
P002,Movie Recommendation Engine,Create a collaborative filtering recommendation system using MovieLens dataset,Machine Learning;Python;Pandas,Intermediate,25,"Data Scientist,ML Engineer"
P003,Customer Churn Predictor,End-to-end ML project predicting customer churn with EDA feature engineering and deployment,Machine Learning;Pandas;FastAPI,Intermediate,30,"Data Scientist,ML Engineer"
P004,Sentiment Analysis API,Build a sentiment classifier trained on Twitter data and served via FastAPI,NLP;Python;FastAPI,Intermediate,20,"NLP Engineer,Backend Developer"
P005,Stock Price Dashboard,Real-time stock data visualization dashboard with Streamlit and Plotly,Python;Streamlit;Data Visualization;Pandas,Beginner,18,"Data Analyst,Data Scientist"
P006,Job Posting Skill Extractor,NLP pipeline to extract skills and requirements from job postings,NLP;Python;Machine Learning,Intermediate,22,"NLP Engineer,Data Scientist"
P007,Image Classifier CNN,Build and train a CNN to classify images from CIFAR-10 dataset using PyTorch,Deep Learning;Python;Computer Vision,Intermediate,28,"AI Engineer,Computer Vision Engineer"
P008,Face Mask Detection System,Real-time face mask detection using YOLOv8 webcam feed,Computer Vision;Deep Learning,Advanced,25,"Computer Vision Engineer,AI Engineer"
P009,Document QA with RAG,Build a PDF question-answering system using LangChain FAISS and an LLM,RAG;Embeddings;LLM;Python,Advanced,30,"AI Engineer,RAG Engineer"
P010,AI Research Paper Summarizer,Agentic AI system that summarizes and compares arXiv research papers,AI Agents;LLM;RAG,Advanced,25,"AI Engineer,Research Scientist"
P011,Diabetes Prediction Web App,ML web app predicting diabetes risk from clinical data with Streamlit UI,Machine Learning;Python;Streamlit,Beginner,15,"Data Scientist,ML Engineer"
P012,Text Summarization Service,Abstractive text summarization using BART/T5 with REST API serving,NLP;Transformers;FastAPI,Intermediate,22,"NLP Engineer,AI Engineer"
P013,Real-time Twitter Sentiment Dashboard,Stream tweets and visualize sentiment in real-time using Kafka and Plotly,NLP;Data Engineering;Python,Advanced,30,"Data Engineer,NLP Engineer"
P014,Sales Forecasting System,Time-series forecasting of sales data using ARIMA LSTM and Prophet,Time Series;Machine Learning;Deep Learning,Intermediate,25,"Data Scientist,ML Engineer"
P015,Resume Parser & Job Matcher,NLP system to parse resumes and match candidates to job descriptions,NLP;Machine Learning;Python,Intermediate,22,"NLP Engineer,Data Scientist"
P016,AI Code Review Assistant,LLM-powered code review tool that suggests improvements and bug fixes,LLM;AI Agents;Python,Advanced,28,"AI Engineer,Software Engineer"
P017,Knowledge Graph Q&A System,Build a private knowledge graph and question-answering system with LLMs,Knowledge Graphs;LLM;Python,Advanced,30,"AI Engineer,Data Engineer"
P018,Personal Learning Assistant Bot,Chatbot that answers questions from a custom document corpus using RAG,RAG;LLM;Streamlit,Intermediate,22,"AI Engineer,Full Stack Developer"
P019,Credit Risk Scorecard,Build a logistic regression scorecard for credit risk assessment,Machine Learning;Statistics;Pandas,Intermediate,20,"Data Scientist,Analyst"
P020,SQL Analytics Dashboard,Business analytics SQL pipeline with stored procedures and Tableau/Power BI,SQL;Business Intelligence,Beginner,18,"Data Analyst,Data Engineer"
P021,Fake News Detector,Train a BERT model to classify news articles as real or fake,NLP;Transformers;Deep Learning,Intermediate,25,"NLP Engineer,AI Engineer"
P022,Autonomous SQL Agent,AI agent that answers business questions by writing and executing SQL,AI Agents;LLM;SQL,Advanced,25,"AI Engineer,Data Analyst"
P023,MLflow Experiment Tracker,Set up a complete MLflow tracking server for an ML project lifecycle,MLOps;Machine Learning;Python,Intermediate,18,"ML Engineer,Data Scientist"
P024,Multi-Model AI Comparison App,Streamlit app comparing outputs from GPT-4 Gemini and Claude side by side,LLM;Streamlit;Python,Intermediate,15,"AI Engineer,Product Developer"
P025,Algorithmic Trading Bot,Backtesting framework with ML-based trading signals,Machine Learning;Python;Statistics,Advanced,35,"Data Scientist,Analyst"
P026,Medical Image Segmentation,Segment tumors in medical images using U-Net architecture,Computer Vision;Deep Learning,Advanced,30,"Computer Vision Engineer,AI Engineer"
P027,E-commerce Personalization Engine,End-to-end product recommendation system with real-time serving,Recommendation Systems;Machine Learning;FastAPI,Advanced,35,"ML Engineer,Data Scientist"
P028,AI Podcast Generator,Generate podcast scripts and audio from topic prompts using LLMs and TTS,Generative AI;LLM;AI Agents,Advanced,25,"AI Engineer,Creative Developer"
P029,Data Quality Monitor,Automated data quality checks alerting and monitoring pipeline,Data Engineering;Python;SQL,Intermediate,20,"Data Engineer,ML Engineer"
P030,Visual Search Engine,Build an image similarity search engine using CLIP embeddings and FAISS,Computer Vision;Embeddings;Transformers,Advanced,28,"AI Engineer,Computer Vision Engineer"
